(,0,0,0,0,0,0,)
(,-2.876305152,-5.028024071,-5.978480785,-4.031793332,8.546862028,8.701244442,)
(,-5.875942145,-10.0872343,-12.06476658,-8.265003037,16.76852736,17.10373608,)
(,-8.987362856,-15.18078027,-18.29754001,-12.69771655,24.84846471,25.39864626,)
(,-12.19560449,-20.31251615,-24.7311411,-17.32320941,32.98501674,33.7959864,)
(,-15.48147183,-25.48750517,-31.44905169,-22.12787358,41.44064757,42.58160846,)
(,-18.82067943,-30.71290372,-38.59372112,-27.08855944,50.65447697,52.2542404,)
(,,,,,,,)
(,,,,,,,)
(,,,,,,,)
(,,,,,,,)
(,,,,,,,)
(,,,,,,,)
(,,,,,,,)
(,,,,,,,)
,,,,,,,)
