{,0,0,0,0,0,0,},
{,3.28290332,2.787676475,-2.85748056,-3.334540928,-0.483306557,0.487744281,},
{,6.523845634,5.51233113,-5.79206715,-6.731446972,-0.961576668,0.97933253,},
{,9.731778067,8.180341865,-8.811721418,-10.2029103,-1.434207,1.474176271,},
{,12.91519581,10.79778072,-11.92524044,-13.76313773,-1.900590008,1.971692586,},
{,16.08237544,13.37050153,-15.14248399,-17.42911176,-2.360114391,2.471304365,},
{,0,0,0,0,0,0,},
{,12.91519581,10.79778072,-11.92524044,-13.76313773,-1.900590008,1.971692586,},
{,9.731778067,8.180341865,-8.811721418,-10.2029103,-1.434207,1.474176271,},
{,6.523845634,5.51233113,-5.79206715,-6.731446972,-0.961576668,0.97933253,},
{,3.28290332,2.787676475,-2.85748056,-3.334540928,-0.483306557,0.487744281,},
{,-6.15E-15,4.99E-15,4.99E-15,-6.15E-15,0,0,},
{,0,0,0,0,0,0,},
{,-1.36E+00,-2.19E+00,-2.19E+00,-1.36E+00,3.50E+00,3.50E+00,},
{,-2.74949719,-4.396875921,-4.396875921,-2.74949719,6.930271165,6.930271165,},
{,-4.163037025,-6.609831636,-6.609831636,-4.163037025,10.30528043,10.30528043,},
{,-5.601911514,-8.833812284,-8.833812284,-5.601911514,13.63658454,13.63658454,},
{,-7.065621827,-11.06994714,-11.06994714,-7.065621827,16.9359821,16.9359821,},
{,0,0,0,0,0,0,},
{,-5.601911514,-8.833812284,-8.833812284,-5.601911514,13.63658454,13.63658454,},
{,-4.163037025,-6.609831636,-6.609831636,-4.163037025,10.30528043,10.30528043,},
{,-2.74949719,-4.396875921,-4.396875921,-2.74949719,6.930271165,6.930271165,},
{,-1.36170528,-2.19391529,-2.19391529,-1.36170528,3.499441279,3.499441279,},
{,-4.26E-15,1.78E-15,1.78E-15,-4.26E-15,-5.54E-16,-5.54E-16,},
{,0,0,0,0,0,0,},
{,-3.334540928,-2.85748056,2.787676475,3.28290332,0.487744281,-0.483306557,},
{,-6.731446972,-5.79206715,5.51233113,6.523845634,0.97933253,-0.961576668,},
{,-10.2029103,-8.811721418,8.180341865,9.731778067,1.474176271,-1.434207,},
{,-13.76313773,-11.92524044,10.79778072,12.91519581,1.971692586,-1.900590008,},
{,-17.42911176,-15.14248399,13.37050153,16.08237544,2.471304365,-2.360114391,},
{,0,0,0,0,0,0,},
{,-13.76313773,-11.92524044,10.79778072,12.91519581,1.971692586,-1.900590008,},
{,-10.2029103,-8.811721418,8.180341865,9.731778067,1.474176271,-1.434207,},
{,-6.731446972,-5.79206715,5.51233113,6.523845634,0.97933253,-0.961576668,},
{,-3.334540928,-2.85748056,2.787676475,3.28290332,0.487744281,-0.483306557,},
{,-1.04E-14,6.77E-15,6.77E-15,-1.04E-14,-5.54E-16,-5.54E-16,},
{,0,0,0,0,0,0,},
{,-1.36170528,-2.19391529,-2.19391529,-1.36170528,3.499441279,3.499441279,},
{,-2.74949719,-4.396875921,-4.396875921,-2.74949719,6.930271165,6.930271165,},
{,-4.163037025,-6.609831636,-6.609831636,-4.163037025,10.30528043,10.30528043,},
{,-5.601911514,-8.833812284,-8.833812284,-5.601911514,13.63658454,13.63658454,},
{,-7.065621827,-11.06994714,-11.06994714,-7.065621827,16.9359821,16.9359821,},
{,0,0,0,0,0,0,},
{,-5.601911514,-8.833812284,-8.833812284,-5.601911514,13.63658454,13.63658454,},
{,-4.163037025,-6.609831636,-6.609831636,-4.163037025,10.30528043,10.30528043,},
{,-2.74949719,-4.396875921,-4.396875921,-2.74949719,6.930271165,6.930271165,},
{,-1.36170528,-2.19391529,-2.19391529,-1.36170528,3.499441279,3.499441279,},
{,-8.53E-15,3.55E-15,3.55E-15,-8.53E-15,-1.11E-15,-1.11E-15,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
{,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},
,,,,,,,},0
